id,group,title,brand,ean,weekly_qty,basis,unit_price_source,hand_pack_size,note,entered,exited
821581,cupboard,Alphamega Sunflower Oil 3 L,Alphamega,5292459004103,0.25,L,comparisonPrice,,sunflower oil (3 L / 12 weeks),2026-09-12,
785711,cupboard,Alphamega White Crystal Sugar 1 kg,Alphamega,5292459000013,1.0,kg,title,1,white sugar 1 kg,2026-09-12,
863983,cupboard,Mitsides Chopped Tomatoes 3x400 g,Mitsides,5290035001393,1.2,kg,comparisonPrice,,chopped tomatoes 3 x 400 g,2026-09-12,
128100,cupboard,Agrino Lentils 500 g,Agrino,5201502117110,0.5,kg,comparisonPrice,,lentils,2026-09-12,
765561,cupboard,365 Tuna in Sunflower Oil 200 g,365,5202336060566,0.4,kg,comparisonPrice,,"tinned tuna, 2",2026-09-12,
111465,cupboard,Kellogg’s Corn Flakes Cereal 500 g,Kellogg’s,4003994111901,0.5,kg,comparisonPrice,,corn flakes,2026-09-12,
894152,cupboard,Kellogg’s Coco Pops Chocos Cereal 550 g,Kellogg’s,5059319024592,0.55,kg,comparisonPrice,,kids chocolate cereal,2026-09-12,
129681,cupboard,G.Charalambous Classic Coffee 200 g,G.Charalambous,5290019000022,0.2,kg,comparisonPrice,,Cyprus coffee,2026-09-12,
803448,cupboard,PG Tips Original Black Tea 40 Tea Pyramid Bags 116 g,PG Tips,8712100739231,40,pc,comparisonPrice,,"tea bags, box of 40",2026-09-12,
777472,cupboard,Alphamega Honey 475 g,Alphamega,5292459000815,0.24,kg,comparisonPrice,,honey (475 g / 2 weeks),2026-09-12,
618125,cupboard,Alphamega Strawberry Jam 370 g,Alphamega,5292459008606,0.185,kg,comparisonPrice,,strawberry jam (370 g / 2 weeks),2026-09-12,
134531,cupboard,Nutella Hazelnut Spread 400 g,Nutella,80135876,0.4,kg,comparisonPrice,,hazelnut spread,2026-09-12,
782097,cupboard,McVitie's Digestive The Original Biscuits 500 g Maxi Pack,McVitie's,5000396018608,0.5,kg,comparisonPrice,,digestive biscuits,2026-09-12,
893602,cupboard,Lay's Potato Chips with Salt 160 g,Lay's,5290052006289,0.32,kg,comparisonPrice,,"crisps, 2 bags",2026-09-12,
618973,cupboard,Milka Alpine Milk Chocolate 90 g,Milka,7622202271922,0.2,kg,comparisonPrice,,"milk chocolate, 2 bars",2026-09-12,
619770,drinks,Agros 100% Orange Juice 9x250 ml,Agros,5202908614760,2.25,L,comparisonPrice,,"100% orange juice, 9 x 250 ml",2026-09-12,
402660,drinks,Kykkos Natural Mineral Water 6x1.5 L,Kykkos,5291469000044,18,L,comparisonPrice,,"mineral water, 2 x 6 x 1.5 L",2026-09-12,
108140,drinks,Coca Cola Original Taste 1.5 L,Coca Cola,5449000000439,3,L,comparisonPrice,,"cola, 2 x 1.5 L",2026-09-12,
342813,drinks,Keo Beer 4.5% 8x500 ml,Keo,5290011001621,2,L,comparisonPrice,,"Keo beer, 4 x 500 ml",2026-09-12,
108839,drinks,Keo Othello Red Dry Wine 750 ml,Keo,5290011000259,0.75,L,comparisonPrice,,"Cyprus red wine, 1 bottle",2026-09-12,
901801,produce,Prepacked Tomatoes 1100 g,,2101801000003,1.5,kg,comparisonPrice,,tomatoes,2026-09-12,
901802,produce,Prepacked Greenhouse Cucumbers 700 g,,2101802000002,0.7,kg,comparisonPrice,,cucumbers,2026-09-12,
770756,produce,Aphamega Washed Potatoes in net 2 kg,Alphamega,5290135001675,2.0,kg,comparisonPrice,,potatoes,2026-09-12,
864395,produce,Fresh Land Golden Onions 1.6 kg,Fresh Land,5298000770404,1.0,kg,comparisonPrice,,onions,2026-09-12,
901457,produce,Chiquita Bananas 1 kg,,2101457000006,2.0,kg,title,1,bananas,2026-09-12,
861853,produce,Prepacked Red Apples 800 g,Fresh Land,5298000770145,1.6,kg,comparisonPrice,,"red apples, 2 packs",2026-09-12,
901100,produce,Oranges for Juice 1.2 kg,,2101100000001,2.0,kg,comparisonPrice,,oranges,2026-09-12,
901832,produce,Imported Lemons 500 g,,,0.5,kg,comparisonPrice,,lemons,2026-09-12,
761110,produce,Gardenfresh Prepacked Lettuce Leafs 150 g,Gardenfresh,5290135001132,0.3,kg,comparisonPrice,,"lettuce leaves, 2 packs",2026-09-12,
865040,produce,Fresh Land Carrots 750 g,Fresh Land,5298000770428,0.75,kg,comparisonPrice,,carrots,2026-09-12,
901810,produce,Prepacked Colored Peppers 700 g,,2101810000001,0.7,kg,comparisonPrice,,coloured peppers,2026-09-12,
787232,household,Alphamega Toilet Paper Premium Quality 10 rolls,Alphamega,5292459002079,10,pc,title,10,toilet rolls,2026-09-12,
787229,household,Alphamega 2 Kitchen rolls 2x400 g,Alphamega,5292459002116,0.8,kg,title,0.8,kitchen rolls 2 x 400 g,2026-09-12,
441027,household,Eureka Dishwashing Liquid with Lemon 750 ml,Eureka,5290049008852,0.375,L,comparisonPrice,,washing-up liquid (750 ml / 2 weeks),2026-09-12,
630347,household,Ariel Alpine All-in-1 Pods 33x18.4 g,Ariel,8006530306553,10,pc,comparisonPrice,,laundry pods (33 / ~3 weeks),2026-09-12,
610233,household,Signal Cavity Fighter Toothpaste 100 ml,Signal,8934839126896,0.05,L,comparisonPrice,,toothpaste (100 ml / 2 weeks),2026-09-12,
751602,household,Syoss Intense Repair Shampoo 750 ml,Syoss,5201143149242,0.15,L,comparisonPrice,,shampoo (750 ml / 5 weeks),2026-09-12,
